table_name,column_name,datatype,description
corestorage_logical_volumes,UUID,text,Unique ID of the logical volume
corestorage_logical_volumes,DesignatedPhysicalVolume,text,UUID of one of the physical volumes on which the logical volume is stored
corestorage_logical_volumes,DesignatedPhysicalVolumeIdentifier,text,Identifier of one of the physical volumes that holds this logical volume (e.g disk0s2)
corestorage_logical_volumes,Identifier,text,"Current identifier of the logical volume (e.g. ""disk5"")"
corestorage_logical_volumes,VolumeName,text,Name of the filesystem in the logical volume
munki_installs,end_time,text,The end time of the last Munki run.
munki_installs,installed,text,Shows if Munki installed an item (true) or if it is simply available but not installed (false).
munki_installs,installed_version,text,The version number of installed items.
munki_installs,name,text,The name of items managed by Munki.
firefox_preferences,path,text,The absolute path to the host's Firefox preferences.
firefox_preferences,key,text,A specific item that describes the path.
firefox_preferences,value,text,The value for the specified key.
firefox_preferences,fullkey,text,The expanded name of the specific item that describes the path.
firefox_preferences,parent,text,The key's parent.
firefox_preferences,query,text,"The query is printed in this column. For example the SQL `SELECT * FROM firefox_preferences WHERE path = 'testdata/prefs.js'` will print ""*"" in the query column."
mdm_bridge,enrollment_status,text,"Contains the enrollment status of the device, possible values are ""device_enrolled"" and ""device_unenrolled""."
mdm_bridge,enrolled_user,text,Contains the enrollment URI of the device.
mdm_bridge,mdm_command_input,text,"The ""get"" command to execute on the device. If empty, no command is executed and the ""enrollment_status"" and ""enrolled_user"" columns are returned."
mdm_bridge,mdm_command_output,text,"Value of the ""Results"" field of the MDM command output."
mdm_bridge,raw_mdm_command_output,text,The full raw output of the MDM command execution.
firmware_eficheck_integrity_check,chip,text,"Contains the chip type, values are ""apple"", ""intel-t1"" and ""intel-t2"". If chip type is ""apple"" or ""intel-t2"" then no eficheck integrity check is executed."
firmware_eficheck_integrity_check,output,text,"Output of the `/usr/libexec/firmwarecheckers/eficheck/eficheck --integrity-check` command. This value is only valid when chip is ""intel-t1""."
osquery_info,pid,,
osquery_info,uuid,,
osquery_info,instance_id,,
osquery_info,config_hash,,
osquery_info,config_valid,,
osquery_info,start_time,,
osquery_info,watcher,,
osquery_info,platform_mask,,
alf_exceptions,state,,Firewall [exception state](https://krypted.com/mac-security/command-line-alf-on-mac-os-x/)
listening_ports,net_namespace,,
time,win_timestamp,,
filevault_users,username,text,Username of the FileVault user.
filevault_users,uuid,text,"UUID of the FileVault user, which can be joined to [users.uuid](http://fleetdm.com/tables/users)."
authorized_keys,pid_with_namespace,,
authorized_keys,uid,,
system_state,idle_state,text,"Returns ""locked"", ""idle"", or ""active""."
firmwarepasswd,option_roms_allowed,text,Whether or not option ROMs are allowed.
firmwarepasswd,password_enabled,text,Whether or not the host has a firmware password.
firmwarepasswd,mode,text,Host's mode setting.
preferences,username,,
munki_info,console_user,text,The username of the user currently logged into the console of the Mac.
munki_info,end_time,text,The date and time at which the latest Munki run ended.
munki_info,errors,text,"If Munki encountered any error during the last run, they will be returned in this column."
munki_info,manifest_name,text,The internal manifest name
munki_info,problem_installs,text,"A list of installs that did not succeed, if any."
munki_info,start_time,text,The date and time at which the latest Munki run started.
munki_info,success,text,"Shows if the Munki run was a success (true), or not (false)."
munki_info,version,text,The version of Munki used during the last run.
munki_info,warnings,text,"If Munki encountered any error during the last run, they will be returned in this column."
pmset,getting,text,Allows specifying a getting option when executing pmset.
pmset,json_result,text,Result of the command in JSON format.
npm_packages,pid_with_namespace,,
npm_packages,mount_namespace_id,,
authdb,right_name,text,The right_name to query in the `authorizationdb read <right_name>` command.
authdb,json_result,text,The JSON output parsed from `authorizationdb` plist. 
pci_devices,pci_class_id,,
pci_devices,pci_subclass_id,,
pci_devices,pci_subclass,,
pci_devices,subsystem_vendor_id,,
pci_devices,subsystem_vendor,,
pci_devices,subsystem_model_id,,
pci_devices,subsystem_model,,
filevault_prk,base64_encrypted,text,The base64-encoded contents of the encrypted FileVault personal recovery key stored at `/var/db/FileVaultPRK.dat` (see also https://developer.apple.com/documentation/devicemanagement/fderecoverykeyescrow)
processes,elevated_token,,
processes,secure_process,,
processes,protection_type,,
processes,virtual_process,,
processes,elapsed_time,,
processes,handle_count,,
processes,percent_processor_time,,
processes,upid,,
processes,uppid,,
processes,cpu_type,,
processes,cpu_subtype,,
processes,translated,,
disk_info,disk_size,bigint,Size of the disk.
disk_info,id,text,The unique identifier of the drive on the system.
disk_info,name,text,The label of the disk object.
disk_info,type,text,The interface type of the disk.
disk_info,partitions,,
disk_info,disk_index,,
disk_info,pnp_device_id,,
disk_info,manufacturer,,
disk_info,hardware_model,,
disk_info,serial,,
disk_info,description,,
cryptoinfo,path,text,Path to the certificate.
cryptoinfo,passphrase,text,The passphrase for the certificate.
cryptoinfo,key,text,A specific item that describes the drive.
cryptoinfo,value,text,The value for the specified key.
cryptoinfo,fullkey,text,The expanded name of the specific item that describes the drive.
cryptoinfo,parent,text,The key's parent.
cryptoinfo,query,text,"The query is printed in this column. For example the SQL `SELECT * FROM cryuptsetup_status WHERE name = 'LUKS_DRIVE' will print ""*""` in the query column."
network_interfaces,mac,text,MAC address (only available to extensions force-installed by enterprise policy)
network_interfaces,ipv4,text,IPv4 address (only available to extensions force-installed by enterprise policy)
network_interfaces,ipv6,text,IPv6 address (only available to extensions force-installed by enterprise policy)
docker_volumes,name,,Volume name from `docker volume ls`
sofa_unpatched_cves,cve,text,"The CVE identifier, like ""CVE-2024-1580"""
sofa_unpatched_cves,patched_version,text,"The security release that patched this CVE, like ""14.4.1"""
sofa_unpatched_cves,actively_exploited,text,"""true"" if this CVE is being actively exploited, ""false"" otherwise"
sofa_unpatched_cves,os_version,text,"If not specified, this is the version of the operating system that the device is running"
puppet_logs,level,text,"The level of the log item (info, error, etc)."
puppet_logs,message,text,The log message content.
puppet_logs,source,text,The source of the log item.
puppet_logs,time,text,The time at which this item was logged.
puppet_logs,file,text,The file from which osquery read this log.
puppet_logs,line,text,The line from which this log item was read.
fleetd_logs,time,text,"The time the event was captured, UTC."
fleetd_logs,level,text,"The log-level of the event. Info, Debug, etc."
fleetd_logs,error,text,The error attached to the event
fleetd_logs,message,text,The message attached to the event
fleetd_logs,payload,text,"Any extra data attached to the event, JSON"
os_version,install_date,,
os_version,pid_with_namespace,,
os_version,mount_namespace_id,,
macadmins_unified_log,trace_id,text,The ID of a trace event
macadmins_unified_log,event_type,text,"The type of event, this can be logEvent, signpostEvent or stateEvent."
macadmins_unified_log,format_string,text,The format string used to convert variable content into a string for output.
macadmins_unified_log,activity_identifier,int,The identifier of the log activity.
macadmins_unified_log,subsystem,text,The subsystem responsible for this activity.
macadmins_unified_log,category,text,The category of the log activity.
macadmins_unified_log,thread_id,bigint,The ID of the thread that originated the event.
macadmins_unified_log,sender_image_uuid,text,"The UUID of the library, framework, kernel extension, or mach-o image, that originated the event."
macadmins_unified_log,sender_image_path,text,"The full path of the library, framework, kernel extension, or mach-o image, that originated the event."
macadmins_unified_log,boot_uuid,text,The boot UUID of the event.
macadmins_unified_log,process_id,bigint,"Process ID of the process that generated this log item, which can be joined to multiple other tables including a *PID*."
macadmins_unified_log,process_image_path,text,The full path of the process that originated the event.
macadmins_unified_log,timestamp,bigint,Timestamp in [UNIX time format](https://en.wikipedia.org/wiki/Unix_time).
macadmins_unified_log,event_message,text,The message of the log entry.
macadmins_unified_log,sender_program_counter,uint,"The program counter of the library, framework, kernel extension, or mach-o image, that originated the event."
macadmins_unified_log,parent_activity_identifier,uint,ID of the parent activity
macadmins_unified_log,log_level,text,"The log level of this item, such as `default`, `info`, `fault`, etc."
process_events,status,,
process_events,fsuid,,
process_events,suid,,
process_events,fsgid,,
process_events,sgid,,
process_events,syscall,,
users,gid,,
users,uid_signed,,
users,gid_signed,,
users,description,,
users,directory,,
users,shell,,
users,uuid,,
users,email,text,Email
users,type,,
users,is_hidden,,
users,pid_with_namespace,,
users,username,,Username
logged_in_users,sid,,
logged_in_users,registry_hive,,
